site,ecosystem,spectral_entropy,power_24h,abs_power_24h,diurnal_amplitude,nee_std,autocorr_24h,nan_fraction_before_fill,n_hours
FI-Lom,Wetland,0.4044192357741498,0.5057921674369141,3.884431047066387,3.486724975719391,2.771262458081565,0.858434423188253,0.07902892561983471,5808
GL-ZaF,Wetland,0.3732546707850431,0.4861512683171977,1.9617829628794279,2.1694162546665243,2.008814191000633,0.9260884211460687,0.2835130970724191,3894
IE-Cra,Wetland,0.4190454885085481,0.4923414957910311,2.663518038346223,4.548321438023679,2.3259190772029483,0.8263953471795092,0.017989297506546736,8783
DE-Akm,Wetland,0.43179605727568166,0.4852594484211567,17.729022763745323,10.984853028368432,6.044430644166157,0.8117738714786055,0.18517732002548312,4709
FR-LGt,Wetland,0.5347845175516635,0.3450964565429218,2.8805652985814496,3.4667935576645554,2.8891401675583905,0.7790807665549119,0.2790032679738562,7344
UK-AMo,Wetland,0.3702128157371316,0.5274383345904895,6.65149731080984,6.486735451088002,3.551189633145622,0.8671753877630902,0.03666091195287905,9847
SE-Htm,Forest,0.38818566149089706,0.5210643953324597,25.937107334004153,13.989045505207816,7.055293260281198,0.8376108012696232,0.012320706141963957,5438
